iata_code,name,latitude,longitude,country,city
,Shingle Mill Heliport,41.75510025,-73.05239868,US,Harwinton
,De Leon Municipal Airport,32.098801,-98.525325,US,De Leon
,Richards Field,25.55870056,-80.51509857,US,Homestead
,Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981,US,Brandon
,Cross Creek Farms Airport,29.23940086,-81.22200012,US,Ormond
,Columbus Southwest Airport,39.91120148,-83.188797,US,Columbus
,Middlekoop Airport,41.0882988,-92.05460358,US,Packwood
,Lanham Field,43.87770081,-116.5370026,US,Emmett
,Turkey Run Airport,41.13059998,-84.99410248,US,New Haven
,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,US,Hudson
,Lake Gage Seaplane Base,41.701389,-85.113056,US,Angola
,Van Gorder Airport,40.17860031,-88.56900024,US,Mansfield
,Robinson Industries Heliport,38.97890091,-95.21970367,US,Lawrence
,Natchez Trace Farm Airport,37.13510132,-85.78939819,US,Hiseville
,St James Heliport,30.051111,-90.702222,US,Lutcher
,Brunner Airport,42.13610077,-88.28759766,US,West Dundee
,La National Guard Heliport,30.44610023,-91.1053009,US,Baton Rouge
,Goddard Field (Airport),42.80979919,-71.1391983,US,Haverhill
,Chesapeake City Heliport,39.51810074,-75.8214035,US,Chesapeake City
,Beech Hill Airport,44.66669846,-69.89389801,US,Mercer
,Rapids Airway Airport,42.53450012,-84.62830353,US,Eaton Rapids
,Helblad Airport,47.9858017,-94.68689728,US,Kelliher
,Airpark Private Airport,39.30120087,-91.45149994,US,Vandalia
,Nick's Flying Service Inc Airport,32.9396019,-90.83730316,US,Rolling Fork
,Pluhar Airport,47.13749778,-106.488095,US,Cohagen
,Western Wake Medical Center Heliport,35.73920059,-78.78220367,US,Cary
,Mc Connell Field Airport,41.15999985,-101.2990036,US,Sarben
,Emmanuel Airport,39.59680176,-75.23349762,US,Elmer
,Kingston Ranch Airport,35.75550079,-115.6650009,US,Sandy Valley
,Klaverack Airport,42.26229858,-73.69619751,US,Hudson
,Teufel Heliport,45.530833,-123.085556,US,Forest Grove
,Bossow Airport,41.2477,-81.100701,US,Garrettsville
,Stillwater Medical Center Heliport,36.11529922,-97.07949829,US,Stillwater
,Collins Landing Strip,44.74990082,-120.2009964,US,Mitchell
,S & C Distribution Center Heliport,39.87929916,-75.22879791,US,Philadelphia
,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,US,Exton
,Emergency Helipad,34.84059906,-82.60690308,US,Easley
,Cheyenne River Health Center Heliport,44.993124,-101.243011,US,Eagle Butte
,Capitol National Bank Building Heliport,30.270262,-97.745275,US,Austin
,Veterans Affairs Medical Center Heliport,29.70019913,-95.38739777,US,Houston
,Hensley Airpark,36.18330002,-82.67890167,US,Chuckey
,Hummingbird Heliport,30.55349922,-97.60610199,US,Hutto
,Pocock Airport,31.73220062,-97.36889648,US,China Spring
,Navajo Mountain Airport,37.00830078,-110.7949982,US,Navajo Mountain Trdng Post
,Saguache Municipal Airport,38.0990833,-106.1743889,US,Saguache
,Russell County Medical Center Heliport,36.898,-82.078,US,Lebanon
